Alignment ID	RT	m.z	2022_12_30_neg_BK_Sfery_23_08_22_B_1_230106030156	2022_12_30_neg_BK_Sfery_23_08_22_B_10_230106082540	2022_12_30_neg_BK_Sfery_23_08_22_B_11_230106090129	2022_12_30_neg_BK_Sfery_23_08_22_B_12_230106093733	2022_12_30_neg_BK_Sfery_23_08_22_B_13_230106101334	2022_12_30_neg_BK_Sfery_23_08_22_B_14_230106104923	2022_12_30_neg_BK_Sfery_23_08_22_B_15_230106112527	2022_12_30_neg_BK_Sfery_23_08_22_B_16_230106120127	2022_12_30_neg_BK_Sfery_23_08_22_B_17_230106123717	2022_12_30_neg_BK_Sfery_23_08_22_B_18_230106131319	2022_12_30_neg_BK_Sfery_23_08_22_B_19_230106134912	2022_12_30_neg_BK_Sfery_23_08_22_B_2_230106033758	2022_12_30_neg_BK_Sfery_23_08_22_B_20_230106142513	2022_12_30_neg_BK_Sfery_23_08_22_B_21_230106150117	2022_12_30_neg_BK_Sfery_23_08_22_B_22_230106153722	2022_12_30_neg_BK_Sfery_23_08_22_B_23_230106161325	2022_12_30_neg_BK_Sfery_23_08_22_B_24_230106164931	2022_12_30_neg_BK_Sfery_23_08_22_B_3_230106041349	2022_12_30_neg_BK_Sfery_23_08_22_B_4_230106044950	2022_12_30_neg_BK_Sfery_23_08_22_B_5_230106052539	2022_12_30_neg_BK_Sfery_23_08_22_B_6_230106060143	2022_12_30_neg_BK_Sfery_23_08_22_B_7_230106063744	2022_12_30_neg_BK_Sfery_23_08_22_B_8_230106071333	2022_12_30_neg_BK_Sfery_23_08_22_B_9_230106074937	2022_12_30_neg_BK_Sfery_23_08_22_S_1_230105123700	2022_12_30_neg_BK_Sfery_23_08_22_S_10_230105180128	2022_12_30_neg_BK_Sfery_23_08_22_S_11_230105183731	2022_12_30_neg_BK_Sfery_23_08_22_S_12_230105191335	2022_12_30_neg_BK_Sfery_23_08_22_S_13_230105194938	2022_12_30_neg_BK_Sfery_23_08_22_S_14_230105202542	2022_12_30_neg_BK_Sfery_23_08_22_S_15_230105210147	2022_12_30_neg_BK_Sfery_23_08_22_S_16_230105213750	2022_12_30_neg_BK_Sfery_23_08_22_S_17_230105221352	2022_12_30_neg_BK_Sfery_23_08_22_S_18_230105224951	2022_12_30_neg_BK_Sfery_23_08_22_S_19_230105232554	2022_12_30_neg_BK_Sfery_23_08_22_S_2_230105131319	2022_12_30_neg_BK_Sfery_23_08_22_S_20_230106000158	2022_12_30_neg_BK_Sfery_23_08_22_S_21_230106003759	2022_12_30_neg_BK_Sfery_23_08_22_S_22_230106011404	2022_12_30_neg_BK_Sfery_23_08_22_S_23_230106015006	2022_12_30_neg_BK_Sfery_23_08_22_S_24_230106022607	2022_12_30_neg_BK_Sfery_23_08_22_S_3_230105134921	2022_12_30_neg_BK_Sfery_23_08_22_S_4_230105142510	2022_12_30_neg_BK_Sfery_23_08_22_S_5_230105150113	2022_12_30_neg_BK_Sfery_23_08_22_S_6_230105153717	2022_12_30_neg_BK_Sfery_23_08_22_S_7_230105161318	2022_12_30_neg_BK_Sfery_23_08_22_S_8_230105164921	2022_12_30_neg_BK_Sfery_23_08_22_S_9_230105172525
3395	1.345	545.06879	9294	8358	13082	8956	14271	11635	11462	8231	12301	9541	13428	11845	14078	10138	12256	5788	12887	10746	11031	11948	6697	8582	12145	11952	3205	0	0	0	0	1590	1094	4505	2944	0	0	0	0	0	0	0	0	2270	767	1527	526	1260	0	3048
3396	1.564	545.13519	12505	9367	15991	17114	12558	15007	18286	17165	15210	10002	14027	18488	19609	20434	12137	18770	34478	22197	14907	16484	16567	21966	14068	20104	0	3255	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2514
3397	12.379	545.14331	10488	18851	10641	7824	13578	12304	9522	3082	13977	12664	21001	7583	9726	11126	23805	65804	10482	7178	17520	3281	9409	10295	7650	11678	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0
3398	3.262	545.14984	80100	80805	28191	68993	17417	59830	30378	53108	32783	51653	75338	65061	30003	10032	36006	56388	48633	78958	77974	51450	35793	79990	37915	33783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3399	1.947	545.15002	25274	27055	17327	23861	17658	25903	22981	20518	23522	24966	22845	31520	18683	19779	17166	24712	20553	29282	32215	20524	18970	28949	21618	20107	362	0	0	0	0	1217	901	0	0	452	0	0	0	0	438	0	0	0	0	0	0	0	179	0
3400	1.44	545.17108	1844	1892	10231	2488	0	1107	0	5278	7293	3593	1041	2795	3561	423	1312	5238	8567	4191	3481	1422	3126	9554	1578	2848	26652	94080	16976	23430	31474	26889	21605	55530	41711	23763	29216	24982	47596	26145	41544	35959	22461	21832	25202	45858	36083	15977	25224	144162
3401	10.276	545.17749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	395	0	0	0	0	0	0	0	41676	14691	22545	24790	21744	23648	18374	27149	19498	23734	22388	19039	15797	25556	15141	15001	29627	28451	10310	33005	40871	28464	24952	18311
3402	11.748	545.17798	68908	45691	79858	73661	64433	54535	50832	89154	64891	59961	38326	62468	64856	63454	47211	58585	63669	106254	59540	83048	65421	68251	59566	62523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	32483
3403	9.87	545.17816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41802	23171	26892	37012	32409	42980	24497	34228	29127	31842	31893	29425	24632	35918	31363	20460	38208	31177	21930	37514	34529	35381	22767	26580
3404	12	545.1853	42102	9323	22640	41770	30597	14070	8163	26398	16401	15496	10246	18209	9774	17380	21362	28565	17320	20768	21582	37965	18960	45405	28283	22419	0	1115	454	2994	0	1090	0	0	0	0	184	0	0	1599	0	234	254	0	950	0	177	2299	1285	620
3405	13.207	545.19873	3490	1438	607	2155	1598	877	1221	1833	1288	1627	3048	2217	0	701	771	2384	1573	1600	0	821	1060	1668	9672	2143	7558	8033	11756	11272	6103	6496	5343	4183	7656	12835	9360	5027	7328	4296	4119	5658	10386	5305	7671	8537	7193	4602	8837	8646
