Alignment ID	RT	m.z	2022_12_30_pos_BK_Sfery_23_08_22_B_1_230102194605	2022_12_30_pos_BK_Sfery_23_08_22_B_10_230103011005	2022_12_30_pos_BK_Sfery_23_08_22_B_11_230103014609	2022_12_30_pos_BK_Sfery_23_08_22_B_12_230103022200	2022_12_30_pos_BK_Sfery_23_08_22_B_13_230103025801	2022_12_30_pos_BK_Sfery_23_08_22_B_14_230103033403	2022_12_30_pos_BK_Sfery_23_08_22_B_15_230103040949	2022_12_30_pos_BK_Sfery_23_08_22_B_16_230103044539	2022_12_30_pos_BK_Sfery_23_08_22_B_17_230103104719	2022_12_30_pos_BK_Sfery_23_08_22_B_18_230103112325	2022_12_30_pos_BK_Sfery_23_08_22_B_19_230103115923	2022_12_30_pos_BK_Sfery_23_08_22_B_2_230102202209	2022_12_30_pos_BK_Sfery_23_08_22_B_20_230103123513	2022_12_30_pos_BK_Sfery_23_08_22_B_21_230103131115	2022_12_30_pos_BK_Sfery_23_08_22_B_22_230103134708	2022_12_30_pos_BK_Sfery_23_08_22_B_23_230103142309	2022_12_30_pos_BK_Sfery_23_08_22_B_24_230103145912	2022_12_30_pos_BK_Sfery_23_08_22_B_3_230102205812	2022_12_30_pos_BK_Sfery_23_08_22_B_4_230102213401	2022_12_30_pos_BK_Sfery_23_08_22_B_5_230102221005	2022_12_30_pos_BK_Sfery_23_08_22_B_6_230102224606	2022_12_30_pos_BK_Sfery_23_08_22_B_7_230102232155	2022_12_30_pos_BK_Sfery_23_08_22_B_8_230102235759	2022_12_30_pos_BK_Sfery_23_08_22_B_9_230103003402	2022_12_30_pos_BK_Sfery_23_08_22_S_1_230102052256	2022_12_30_pos_BK_Sfery_23_08_22_S_10_230102104704	2022_12_30_pos_BK_Sfery_23_08_22_S_11_230102112253	2022_12_30_pos_BK_Sfery_23_08_22_S_12_230102115852	2022_12_30_pos_BK_Sfery_23_08_22_S_13_230102123442	2022_12_30_pos_BK_Sfery_23_08_22_S_14_230102131027	2022_12_30_pos_BK_Sfery_23_08_22_S_15_230102134615	2022_12_30_pos_BK_Sfery_23_08_22_S_16_230102142204	2022_12_30_pos_BK_Sfery_23_08_22_S_17_230102145755	2022_12_30_pos_BK_Sfery_23_08_22_S_18_230102153356	2022_12_30_pos_BK_Sfery_23_08_22_S_19_230102160945	2022_12_30_pos_BK_Sfery_23_08_22_S_2_230102055859	2022_12_30_pos_BK_Sfery_23_08_22_S_20_230102164549	2022_12_30_pos_BK_Sfery_23_08_22_S_21_230102172152	2022_12_30_pos_BK_Sfery_23_08_22_S_22_230102175755	2022_12_30_pos_BK_Sfery_23_08_22_S_23_230102183359	2022_12_30_pos_BK_Sfery_23_08_22_S_24_230102191002	2022_12_30_pos_BK_Sfery_23_08_22_S_3_230102063503	2022_12_30_pos_BK_Sfery_23_08_22_S_4_230102071102	2022_12_30_pos_BK_Sfery_23_08_22_S_5_230102074705	2022_12_30_pos_BK_Sfery_23_08_22_S_6_230102082309	2022_12_30_pos_BK_Sfery_23_08_22_S_7_230102085912	2022_12_30_pos_BK_Sfery_23_08_22_S_8_230102093513	2022_12_30_pos_BK_Sfery_23_08_22_S_9_230102101113
311	1.29	184.04521	39316376	42156120	42677752	39409656	39734844	39174760	37415672	37545696	39845952	41220216	39036776	41368872	41432840	39821492	42090536	38746932	35199264	38419584	39372904	39321928	41650860	39279228	41719356	41236580	33309960	27891054	30054162	27984190	23037088	26935852	30019646	31460580	27832302	27678312	24835254	34638076	21375464	21610124	16996246	20118330	24551378	29465956	33378090	33770904	29657936	33364928	29933496	32162928
312	1.294	184.05324	507461	447741	921331	453556	422936	963933	671433	777499	453870	978071	649777	410964	570604	498450	907377	526569	426199	418069	439501	623282	450858	945430	849279	561844	824218	477706	510597	539312	607968	624094	767806	790648	623210	581732	614488	483434	413407	426763	338902	402367	355400	426764	617833	844827	601389	785186	807387	697289
313	1.277	184.06941	113981	164543	137590	119300	176082	171459	159201	111457	110034	100336	158211	153217	191414	137605	114258	152752	126674	190317	125085	161810	138743	126955	178504	155896	135929	101826	108685	94828	92027	100435	101538	135765	99121	103289	104520	149862	75523	84642	43734	79014	100309	122622	108558	86948	98029	132623	103429	159797
314	1.276	184.07675	94636	75716	105124	106866	100886	82962	94778	98608	61477	76514	65787	149701	70106	123891	116541	149408	107872	113450	103014	79543	110670	73849	105100	116558	78463	46812	90881	112745	51085	76161	101407	69885	78358	99320	68221	115555	65288	78758	26430	57248	69067	73763	75648	76918	101487	95593	91318	69597
315	11.942	185.11618	230	1116	1284	884	907	1282	0	0	0	1304	1492	1063	1036	290	0	0	1125	313	3008	1420	642	1334	0	783	87187	73623	126363	49571	94127	84963	66174	82408	87730	64099	83112	25919	55859	53791	85342	68500	87957	70944	39663	57371	88159	44831	45524	64404
316	1.291	186.04257	4767622	5082740	5014344	4822028	4794982	4732333	4465428	4465214	4706757	4743596	4682462	4942860	4947658	4760288	5017288	4519712	4180544	4655567	4471514	4731872	4942202	4753182	5022250	4925656	4253452	3501114	3694438	3545843	2615092	3312498	3648423	3832522	3326113	3305766	2999585	4347679	2402148	2560451	1967775	2243670	3018833	3543520	4324466	4175659	3774531	4020250	3813464	3979838
317	1.264	186.04266	4783134	5095874	5069019	4873894	4850055	4749328	4465428	4465214	4706757	4787711	4682462	4969658	4947658	4760288	5052304	4581436	4180544	4673716	4471514	4754222	4954861	4771356	5022250	4935602	4257755	3497627	3684635	3510996	2615092	3312498	3648423	3825708	3321780	3305766	2999585	4358198	2425663	2578169	1967076	2325960	3001934	3560203	4324466	4219045	3736350	4020875	3788608	3979838
318	2.623	188.06972	5097	28778	18614	8750	11398	17482	35174	19929	39359	71055	19969	23246	25366	28054	42476	10158	22023	10267	10006	45314	40859	3070	21523	9678	14506	87700	16222	101227	105072	436335	237240	1683917	19049	238115	71254	15918	1145226	1026895	837989	1009263	136008	14177	85936	193394	178465	52757	11849	36418
319	1.71	188.09117	85970	72150	130120	143225	119859	180444	112296	99503	103503	93962	66073	142595	99393	101151	87942	82705	273146	156092	77129	95526	149770	117115	71001	91674	73961	35929	62362	39244	32686	34818	26132	52005	25139	45299	32917	45504	41928	43594	57971	39388	31726	47735	29428	49718	46455	17658	22788	33874
320	1.711	189.03856	56541	52998	108179	45910	55950	58198	75958	103561	91390	90679	87129	104967	75470	73796	67344	64504	82194	44552	86036	32542	32930	103902	31651	57751	18917	15167	22123	11774	25723	23312	26083	26898	22903	27019	15997	15957	23133	39660	30608	23216	29022	23288	17012	10840	14956	15537	20746	28257
321	14.008	189.07477	266293	286158	221808	127908	133134	57237	148697	442627	179508	424464	45401	182732	216745	214177	443229	202940	394386	120436	265970	158160	118502	453783	187893	208370	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	295	0	0	0
322	11.375	189.1265	164959	396341	95246	34796	99366	33093	47840	78575	134221	75304	40132	99597	300391	46119	75721	72666	301081	106310	75444	148098	92642	56116	182542	73646	553	0	0	1061	0	279	0	0	0	166	670	0	356	0	0	0	405	1551	1048	0	699	1379	1879	1580
323	9.846	189.1265	134325	286888	89019	71101	105266	51034	70540	72133	99499	86524	67392	104682	299062	80454	136481	134056	289485	132298	109224	130756	87885	88790	239804	80396	2761	362	2292	1103	1284	3379	2048	685	0	1298	365	1361	1162	435	425	1012	1649	1714	1728	1975	0	376	3030	0
324	5.154	189.12653	601887	587626	673525	702525	746395	430267	368224	870437	665294	689329	316400	491319	492231	745704	713963	633427	679690	566288	543343	817142	543176	468589	567528	638209	142597	161527	151828	138823	107194	109950	175193	128751	82197	114071	110644	208924	60758	142589	133029	166629	101065	163111	202258	139297	136168	209887	132814	167844
325	3.015	190.04898	304937	767848	848379	321089	647617	202294	754723	339635	240437	600500	373254	446051	578406	482186	610908	261169	226621	616604	378879	765228	845081	477771	812070	414269	209	0	589	0	0	458	0	0	1019	621	1206	0	1413	0	3345	1132	0	1107	537	1546	0	1009	0	0
326	1.489	191.03812	351302	367526	301908	324094	316262	478984	320660	496777	418237	502123	477203	328815	394226	330097	440519	457276	210394	307824	399487	284746	333267	316407	351416	315316	6731	748	6873	882	18832	13234	15933	28475	30798	36765	33953	2755	66244	38557	83422	60672	24798	22533	5213	1414	1396	3836	0	11492
